-0.037976,0.0014228,-0.078114,-0.29139,-0.44505,-0.55482,0.19662,-0.24718,-0.18646,0.47887,-0.064423,0.07689,-0.11541,0.12019
-0.04388,0.064594,0.22313,-0.20145,0.21343,-0.38246,0.36162,-0.066587,-0.30304,-0.53241,-0.16572,-0.24191,0.33892,-0.019237
-0.20485,-0.3257,-0.23438,-0.22284,0.24284,-0.08092,0.18512,0.34649,0.16117,-0.08873,-0.52584,0.25232,-0.39043,-0.032666
-0.21681,-0.21928,0.36834,-0.083532,-0.14259,0.27499,0.058668,0.1422,-0.40157,0.068851,0.08657,-0.48697,-0.47399,-0.085651
-0.20489,-0.32282,-0.40682,0.41005,0.32327,-0.28353,-0.10744,-0.079765,-0.024437,0.19598,0.039222,-0.49109,0.086203,0.16796
-0.20576,-0.22803,0.21916,0.59844,-0.54978,-0.11557,0.1055,-0.0090624,0.1745,-0.29725,-0.18897,0.11856,0.014538,0.062357
-0.25708,0.29391,-0.20026,0.0045477,-0.016435,-0.27435,0.17566,0.0042583,0.31532,-0.24977,0.50946,-0.07332,-0.375,-0.36555
-0.31867,0.4113,-0.27824,0.051514,-0.10657,0.36405,0.14032,-0.36599,-0.016894,0.081698,-0.47742,-0.19906,0.072952,-0.26805
-0.26152,0.32908,0.062803,0.050828,0.074596,0.16867,0.46635,0.27954,0.13363,0.15875,0.13256,-0.013154,0.05422,0.6507
-0.33055,0.45393,0.066695,0.12485,0.037857,-0.2688,-0.56721,0.31526,-0.33966,-0.033723,-0.14355,0.14527,-0.077988,0.074463
0.33765,0.13123,-0.27369,-0.13477,-0.19822,0.028911,-0.21449,-0.18982,0.057872,-0.42736,-0.1224,-0.25938,-0.36843,0.49955
0.32954,0.21599,0.2236,0.00015726,-0.094413,-0.20692,-0.039213,0.39542,0.4439,0.22352,-0.28861,-0.46853,0.062285,-0.17726
0.36481,0.076619,-0.47246,0.23474,-0.22216,0.064247,0.28659,0.45268,-0.45218,-0.038436,0.06012,0.028663,0.054293,-0.16987
0.3498,0.21402,0.25676,0.4444,0.39259,-0.11707,0.2253,-0.28095,-0.13162,0.13556,-0.13997,0.16011,-0.43536,-0.020592
