id,ref_id,left_id,right_id,compared_result,reason
149,5,4,14,1,"[[0,0,0,0.5,2],[1,0,1,0.5,1]]"
150,5,6,7,1,"[[0,0,0,0.5,1],[0,0,1,0.5,3]]"
151,5,6,8,1,"[[0,0,0,0.5,1],[0,0,1,0.5,4]]"
152,5,6,9,1,"[[0,0,0,0.5,1],[0,0,1,0.5,4]]"
153,5,6,10,1,"[[0,0,0,0.5,1],[0,0,1,0.5,5]]"
154,5,6,11,1,"[[0,0,0,0.5,1],[1,0,1,0.5,1]]"
155,5,6,12,1,"[[0,0,0,0.5,1],[1,0,1,0.5,2]]"
156,5,6,13,1,"[[0,0,0,0.5,1],[1,0,1,0.5,0]]"
157,5,6,14,1,"[[0,0,0,0.5,1],[1,0,1,0.5,1]]"
158,5,7,8,1,"[[0,0,1,0.5,3],[0,0,1,0.5,4]]"
159,5,7,9,1,"[[0,0,1,0.5,3],[0,0,1,0.5,4]]"
160,5,7,10,1,"[[0,0,1,0.5,3],[0,0,1,0.5,5]]"
161,5,7,11,1,"[[0,0,1,0.5,3],[1,0,1,0.5,1]]"
162,5,7,12,1,"[[0,0,1,0.5,3],[1,0,1,0.5,2]]"
163,5,7,13,1,"[[0,0,1,0.5,3],[1,0,1,0.5,0]]"
164,5,7,14,1,"[[0,0,1,0.5,3],[1,0,1,0.5,1]]"
165,5,8,9,0,"[[0,0,1,0.5,4],[0,0,1,0.5,4]]"
166,5,8,10,1,"[[0,0,1,0.5,4],[0,0,1,0.5,5]]"
167,5,8,11,1,"[[0,0,1,0.5,4],[1,0,1,0.5,1]]"
168,5,8,12,1,"[[0,0,1,0.5,4],[1,0,1,0.5,2]]"
169,5,8,13,1,"[[0,0,1,0.5,4],[1,0,1,0.5,0]]"
170,5,8,14,1,"[[0,0,1,0.5,4],[1,0,1,0.5,1]]"
171,5,9,10,1,"[[0,0,1,0.5,4],[0,0,1,0.5,5]]"
172,5,9,11,1,"[[0,0,1,0.5,4],[1,0,1,0.5,1]]"
173,5,9,12,1,"[[0,0,1,0.5,4],[1,0,1,0.5,2]]"
174,5,9,13,1,"[[0,0,1,0.5,4],[1,0,1,0.5,0]]"
175,5,9,14,1,"[[0,0,1,0.5,4],[1,0,1,0.5,1]]"
176,5,10,11,1,"[[0,0,1,0.5,5],[1,0,1,0.5,1]]"
177,5,10,12,1,"[[0,0,1,0.5,5],[1,0,1,0.5,2]]"
178,5,10,13,1,"[[0,0,1,0.5,5],[1,0,1,0.5,0]]"
179,5,10,14,1,"[[0,0,1,0.5,5],[1,0,1,0.5,1]]"
180,5,11,12,1,"[[1,0,1,0.5,1],[1,0,1,0.5,2]]"
181,5,11,13,-1,"[[1,0,1,0.5,1],[1,0,1,0.5,0]]"
182,5,11,14,0,"[[1,0,1,0.5,1],[1,0,1,0.5,1]]"
183,5,12,13,-1,"[[1,0,1,0.5,2],[1,0,1,0.5,0]]"
184,5,12,14,-1,"[[1,0,1,0.5,2],[1,0,1,0.5,1]]"
185,5,13,14,1,"[[1,0,1,0.5,0],[1,0,1,0.5,1]]"
186,6,3,4,-1,"[[0,0,0,0.5,2],[0,0,0,0.5,1]]"
187,6,3,5,-1,"[[0,0,0,0.5,2],[0,0,0,0.5,1]]"
188,6,3,7,1,"[[0,0,0,0.5,2],[0,0,1,0.5,4]]"
189,6,3,8,1,"[[0,0,0,0.5,2],[0,0,1,0.5,5]]"
190,6,3,9,1,"[[0,0,0,0.5,2],[0,0,1,0.5,3]]"
191,6,3,10,1,"[[0,0,0,0.5,2],[0,0,1,0.5,4]]"
192,6,3,11,1,"[[0,0,0,0.5,2],[1,0,1,0.5,2]]"
193,6,3,12,1,"[[0,0,0,0.5,2],[1,0,1,0.5,1]]"
194,6,3,13,1,"[[0,0,0,0.5,2],[1,0,1,0.5,1]]"
195,6,3,14,1,"[[0,0,0,0.5,2],[1,0,1,0.5,0]]"
196,6,4,5,0,"[[0,0,0,0.5,1],[0,0,0,0.5,1]]"
197,6,4,7,1,"[[0,0,0,0.5,1],[0,0,1,0.5,4]]"
198,6,4,8,1,"[[0,0,0,0.5,1],[0,0,1,0.5,5]]"
199,6,4,9,1,"[[0,0,0,0.5,1],[0,0,1,0.5,3]]"
200,6,4,10,1,"[[0,0,0,0.5,1],[0,0,1,0.5,4]]"
201,6,4,11,1,"[[0,0,0,0.5,1],[1,0,1,0.5,2]]"
202,6,4,12,1,"[[0,0,0,0.5,1],[1,0,1,0.5,1]]"
203,6,4,13,1,"[[0,0,0,0.5,1],[1,0,1,0.5,1]]"
204,6,4,14,1,"[[0,0,0,0.5,1],[1,0,1,0.5,0]]"
205,6,5,7,1,"[[0,0,0,0.5,1],[0,0,1,0.5,4]]"
206,6,5,8,1,"[[0,0,0,0.5,1],[0,0,1,0.5,5]]"
207,6,5,9,1,"[[0,0,0,0.5,1],[0,0,1,0.5,3]]"
208,6,5,10,1,"[[0,0,0,0.5,1],[0,0,1,0.5,4]]"
209,6,5,11,1,"[[0,0,0,0.5,1],[1,0,1,0.5,2]]"
210,6,5,12,1,"[[0,0,0,0.5,1],[1,0,1,0.5,1]]"
211,6,5,13,1,"[[0,0,0,0.5,1],[1,0,1,0.5,1]]"
212,6,5,14,1,"[[0,0,0,0.5,1],[1,0,1,0.5,0]]"
213,6,7,8,1,"[[0,0,1,0.5,4],[0,0,1,0.5,5]]"
214,6,7,9,-1,"[[0,0,1,0.5,4],[0,0,1,0.5,3]]"
215,6,7,10,0,"[[0,0,1,0.5,4],[0,0,1,0.5,4]]"
216,6,7,11,1,"[[0,0,1,0.5,4],[1,0,1,0.5,2]]"
217,6,7,12,1,"[[0,0,1,0.5,4],[1,0,1,0.5,1]]"
218,6,7,13,1,"[[0,0,1,0.5,4],[1,0,1,0.5,1]]"
219,6,7,14,1,"[[0,0,1,0.5,4],[1,0,1,0.5,0]]"
220,6,8,9,-1,"[[0,0,1,0.5,5],[0,0,1,0.5,3]]"
221,6,8,10,-1,"[[0,0,1,0.5,5],[0,0,1,0.5,4]]"
222,6,8,11,1,"[[0,0,1,0.5,5],[1,0,1,0.5,2]]"
223,6,8,12,1,"[[0,0,1,0.5,5],[1,0,1,0.5,1]]"
224,6,8,13,1,"[[0,0,1,0.5,5],[1,0,1,0.5,1]]"
225,6,8,14,1,"[[0,0,1,0.5,5],[1,0,1,0.5,0]]"
226,6,9,10,1,"[[0,0,1,0.5,3],[0,0,1,0.5,4]]"
227,6,9,11,1,"[[0,0,1,0.5,3],[1,0,1,0.5,2]]"
228,6,9,12,1,"[[0,0,1,0.5,3],[1,0,1,0.5,1]]"
