tool,pid,dataset,session,index,action,time,data,fields,fields_count,is_aggregated,vars,vars_count,selected_fields,selected_fields_count,selected_vars,selected_vars_count,has_extra_field,isDrilldown,shorthand,spec,marktype,tooltip_count,hovered_data,bookmark_removed
polestar,515,Birdstrikes,2,282,BOOKMARK_ADD,3/22/2015 22:18:00,"""mark=bar|x=Aircraft__Airline_Operator,O|y=count_*,Q""","count_*,Q|Aircraft__Airline_Operator,O",2,TRUE,Aircraft__Airline_Operator,1,,,,,,,"mark=bar|x=Aircraft__Airline_Operator,O|y=count_*,Q","{""marktype"":""bar"",""enc"":{""x"":{""type"":""O"",""name"":""Aircraft__Airline_Operator""},""y"":{""type"":""Q"",""name"":""*"",""aggr"":""count""}}}",bar,,,FALSE
polestar,515,Birdstrikes,2,315,BOOKMARK_ADD,3/22/2015 22:20:00,"""mark=bar|x=Wildlife__Size,O|y=avg_Cost__Total_$,Q""","avg_Cost__Total_$,Q|Wildlife__Size,O",2,TRUE,"Cost__Total_$,Wildlife__Size",2,,,,,,,"mark=bar|x=Wildlife__Size,O|y=avg_Cost__Total_$,Q","{""marktype"":""bar"",""enc"":{""x"":{""type"":""O"",""name"":""Wildlife__Size""},""y"":{""type"":""Q"",""name"":""Cost__Total_$"",""aggr"":""avg""}}}",bar,,,FALSE
polestar,515,Birdstrikes,2,397,BOOKMARK_ADD,3/22/2015 22:23:00,"""mark=bar|x=Aircraft__Airline_Operator,O|y=avg_Cost__Total_$,Q""","Aircraft__Airline_Operator,O|avg_Cost__Total_$,Q",2,TRUE,"Aircraft__Airline_Operator,Cost__Total_$",2,,,,,,,"mark=bar|x=Aircraft__Airline_Operator,O|y=avg_Cost__Total_$,Q","{""marktype"":""bar"",""enc"":{""x"":{""type"":""O"",""name"":""Aircraft__Airline_Operator""},""y"":{""type"":""Q"",""name"":""Cost__Total_$"",""aggr"":""avg""}}}",bar,,,FALSE
polestar,515,Birdstrikes,2,464,BOOKMARK_ADD,3/22/2015 22:26:00,"""mark=line|x=year_Flight_Date,T|y=count_*,Q|color=Wildlife__Size,O""","count_*,Q|Wildlife__Size,O|year_year_Flight_Date,T",3,TRUE,"Wildlife__Size,year_Flight_Date",2,,,,,,,"mark=line|x=year_year_Flight_Date,T|y=count_*,Q|color=Wildlife__Size,O","{""marktype"":""line"",""enc"":{""x"":{""type"":""T"",""name"":""year_Flight_Date"",""fn"":""year""},""y"":{""type"":""Q"",""name"":""*"",""aggr"":""count""},""color"":{""type"":""O"",""name"":""Wildlife__Size""}}}",line,,,FALSE
polestar,515,Birdstrikes,2,524,BOOKMARK_ADD,3/22/2015 22:28:00,"""mark=line|x=year_Flight_Date,T|y=count_*,Q|color=Aircraft__Airline_Operator,O""","count_*,Q|Aircraft__Airline_Operator,O|year_year_Flight_Date,T",3,TRUE,"Aircraft__Airline_Operator,year_Flight_Date",2,,,,,,,"mark=line|x=year_year_Flight_Date,T|y=count_*,Q|color=Aircraft__Airline_Operator,O","{""marktype"":""line"",""enc"":{""x"":{""type"":""T"",""name"":""year_Flight_Date"",""fn"":""year""},""y"":{""type"":""Q"",""name"":""*"",""aggr"":""count""},""color"":{""type"":""O"",""name"":""Aircraft__Airline_Operator""}}}",line,,,FALSE
polestar,515,Birdstrikes,2,587,BOOKMARK_ADD,3/22/2015 22:32:00,"""mark=line|x=year_Flight_Date,T|y=count_*,Q|row=Wildlife__Size,O|col=Origin_State,O""","count_*,Q|Origin_State,O|Wildlife__Size,O|year_year_Flight_Date,T",4,TRUE,"Origin_State,Wildlife__Size,year_Flight_Date",3,,,,,,,"mark=line|x=year_year_Flight_Date,T|y=count_*,Q|row=Wildlife__Size,O|col=Origin_State,O","{""marktype"":""line"",""enc"":{""x"":{""type"":""T"",""name"":""year_Flight_Date"",""fn"":""year""},""y"":{""type"":""Q"",""name"":""*"",""aggr"":""count""},""row"":{""type"":""O"",""name"":""Wildlife__Size""},""col"":{""type"":""O"",""name"":""Origin_State""}}}",line,,,FALSE
polestar,515,Birdstrikes,2,682,BOOKMARK_ADD,3/22/2015 22:35:00,"""mark=bar|x=Airport__Name,O|y=count_*,Q|color=Wildlife__Size,O|detail=Origin_State,O""","count_*,Q|Airport__Name,O|Origin_State,O|Wildlife__Size,O",4,TRUE,"Airport__Name,Origin_State,Wildlife__Size",3,,,,,,,"mark=bar|x=Airport__Name,O|y=count_*,Q|color=Wildlife__Size,O|detail=Origin_State,O","{""marktype"":""bar"",""enc"":{""x"":{""type"":""O"",""name"":""Airport__Name""},""y"":{""type"":""Q"",""name"":""*"",""aggr"":""count""},""color"":{""type"":""O"",""name"":""Wildlife__Size""},""detail"":{""type"":""O"",""name"":""Origin_State""}}}",bar,,,FALSE
voyager,515,Movies,1,65,BOOKMARK_ADD,3/22/2015 21:32:00,"""mark=bar|x=count_*,Q|y=Director,O""","count_*,Q|Director,O",2,TRUE,Director,1,,0,,0,TRUE,FALSE,"mark=bar|x=count_*,Q|y=Director,O","{""marktype"":""bar"",""enc"":{""x"":{""type"":""Q"",""name"":""*"",""aggr"":""count""},""y"":{""type"":""O"",""name"":""Director""}}}",bar,,,TRUE
voyager,515,Movies,1,72,BOOKMARKS_CLEAR,3/22/2015 21:32:00,,,,,,,,,,,,,,,,,,
voyager,515,Movies,1,73,BOOKMARK_ADD,3/22/2015 21:32:00,"""mark=bar|x=count_*,Q|y=Director,O""","count_*,Q|Director,O",2,TRUE,Director,1,,0,,0,TRUE,FALSE,"mark=bar|x=count_*,Q|y=Director,O","{""marktype"":""bar"",""enc"":{""x"":{""type"":""Q"",""name"":""*"",""aggr"":""count""},""y"":{""type"":""O"",""name"":""Director""}}}",bar,,,FALSE
voyager,515,Movies,1,127,BOOKMARK_ADD,3/22/2015 21:33:00,"""mark=bar|x=count_*,Q|y=Distributor,O""","count_*,Q|Distributor,O",2,TRUE,Distributor,1,,0,,0,TRUE,TRUE,"mark=bar|x=count_*,Q|y=Distributor,O","{""marktype"":""bar"",""enc"":{""x"":{""type"":""Q"",""name"":""*"",""aggr"":""count""},""y"":{""type"":""O"",""name"":""Distributor""}}}",bar,,,FALSE
voyager,515,Movies,1,306,BOOKMARK_ADD,3/22/2015 21:38:00,"""mark=line|x=year_Release_Date,T|y=count_*,Q""","count_*,Q|year_year_Release_Date,T",2,TRUE,year_Release_Date,1,,0,,0,TRUE,TRUE,"mark=line|x=year_year_Release_Date,T|y=count_*,Q","{""marktype"":""line"",""enc"":{""x"":{""type"":""T"",""name"":""year_Release_Date"",""fn"":""year""},""y"":{""type"":""Q"",""name"":""*"",""aggr"":""count""}}}",line,,,FALSE
voyager,515,Movies,1,362,BOOKMARK_ADD,3/22/2015 21:39:00,"""mark=tick|x=IMDB_Rating,Q""","IMDB_Rating,Q",1,FALSE,IMDB_Rating,1,"IMDB_Rating,Q",1,IMDB_Rating,1,FALSE,FALSE,"mark=tick|x=IMDB_Rating,Q","{""marktype"":""tick"",""enc"":{""x"":{""type"":""Q"",""name"":""IMDB_Rating""}}}",tick,,,FALSE
voyager,515,Movies,1,711,BOOKMARK_ADD,3/22/2015 21:47:00,"""mark=point|x=bin_IMDB_Rating,Q|y=bin_Rotten_Tomatoes_Rating,Q|size=count_*,Q""","count_*,Q|bin_IMDB_Rating,Q|bin_Rotten_Tomatoes_Rating,Q",3,TRUE,"IMDB_Rating,Rotten_Tomatoes_Rating",2,"IMDB_Rating,Q|Rotten_Tomatoes_Rating,Q",2,"IMDB_Rating,Rotten_Tomatoes_Rating",2,TRUE,FALSE,"mark=point|x=bin_IMDB_Rating,Q|y=bin_Rotten_Tomatoes_Rating,Q|size=count_*,Q","{""marktype"":""point"",""enc"":{""x"":{""bin"":true,""type"":""Q"",""name"":""IMDB_Rating""},""y"":{""bin"":true,""type"":""Q"",""name"":""Rotten_Tomatoes_Rating""},""size"":{""type"":""Q"",""name"":""*"",""aggr"":""count""}}}",point,,,FALSE
voyager,515,Movies,1,933,BOOKMARK_ADD,3/22/2015 21:51:00,"""mark=tick|x=bin_Running_Time_min,Q|y=Rotten_Tomatoes_Rating,Q""","Rotten_Tomatoes_Rating,Q|bin_Running_Time_min,Q",2,FALSE,"Rotten_Tomatoes_Rating,Running_Time_min",2,"Rotten_Tomatoes_Rating,Q|Running_Time_min,Q",2,"Rotten_Tomatoes_Rating,Running_Time_min",2,FALSE,FALSE,"mark=tick|x=bin_Running_Time_min,Q|y=Rotten_Tomatoes_Rating,Q","{""marktype"":""tick"",""enc"":{""x"":{""bin"":true,""type"":""Q"",""name"":""Running_Time_min""},""y"":{""type"":""Q"",""name"":""Rotten_Tomatoes_Rating""}}}",tick,,,FALSE
voyager,515,Movies,1,1048,BOOKMARK_ADD,3/22/2015 21:53:00,"""mark=bar|x=bin_IMDB_Rating,Q|y=avg_US_DVD_Sales,Q""","bin_IMDB_Rating,Q|avg_US_DVD_Sales,Q",2,TRUE,"IMDB_Rating,US_DVD_Sales",2,"IMDB_Rating,Q|US_DVD_Sales,Q",2,"IMDB_Rating,US_DVD_Sales",2,FALSE,FALSE,"mark=bar|x=bin_IMDB_Rating,Q|y=avg_US_DVD_Sales,Q","{""marktype"":""bar"",""enc"":{""x"":{""bin"":true,""type"":""Q"",""name"":""IMDB_Rating""},""y"":{""type"":""Q"",""name"":""US_DVD_Sales"",""aggr"":""avg""}}}",bar,,,FALSE
voyager,515,Movies,1,1088,BOOKMARK_ADD,3/22/2015 21:54:00,"""mark=bar|x=bin_IMDB_Rating,Q|y=avg_Production_Budget,Q""","bin_IMDB_Rating,Q|avg_Production_Budget,Q",2,TRUE,"IMDB_Rating,Production_Budget",2,"IMDB_Rating,Q|Production_Budget,Q",2,"IMDB_Rating,Production_Budget",2,FALSE,FALSE,"mark=bar|x=bin_IMDB_Rating,Q|y=avg_Production_Budget,Q","{""marktype"":""bar"",""enc"":{""x"":{""bin"":true,""type"":""Q"",""name"":""IMDB_Rating""},""y"":{""type"":""Q"",""name"":""Production_Budget"",""aggr"":""avg""}}}",bar,,,FALSE
voyager,515,Movies,1,1112,BOOKMARK_ADD,3/22/2015 21:55:00,"""mark=bar|x=bin_IMDB_Rating,Q|y=min_IMDB_Votes,Q""","bin_IMDB_Rating,Q|min_IMDB_Votes,Q",2,TRUE,"IMDB_Rating,IMDB_Votes",2,"IMDB_Rating,Q|IMDB_Votes,Q",2,"IMDB_Rating,IMDB_Votes",2,FALSE,FALSE,"mark=bar|x=bin_IMDB_Rating,Q|y=min_IMDB_Votes,Q","{""marktype"":""bar"",""enc"":{""x"":{""bin"":true,""type"":""Q"",""name"":""IMDB_Rating""},""y"":{""type"":""Q"",""name"":""IMDB_Votes"",""aggr"":""min""}}}",bar,,,FALSE
voyager,515,Movies,1,1158,BOOKMARK_ADD,3/22/2015 21:57:00,"""mark=bar|x=bin_IMDB_Rating,Q|y=avg_IMDB_Votes,Q""","bin_IMDB_Rating,Q|avg_IMDB_Votes,Q",2,TRUE,"IMDB_Rating,IMDB_Votes",2,"IMDB_Rating,Q|IMDB_Votes,Q",2,"IMDB_Rating,IMDB_Votes",2,FALSE,FALSE,"mark=bar|x=bin_IMDB_Rating,Q|y=avg_IMDB_Votes,Q","{""marktype"":""bar"",""enc"":{""x"":{""bin"":true,""type"":""Q"",""name"":""IMDB_Rating""},""y"":{""type"":""Q"",""name"":""IMDB_Votes"",""aggr"":""avg""}}}",bar,,,FALSE
